fpr,tpr,threshold
0.0,0.0,inf
0.015873015873015872,0.0,0.38186299957980685
0.031746031746031744,0.0,0.381840112681249
0.031746031746031744,0.05405405405405406,0.38181690557742154
0.047619047619047616,0.05405405405405406,0.3818095759057206
0.047619047619047616,0.13513513513513514,0.3817846689037566
0.09523809523809523,0.13513513513513514,0.3817407735968462
0.09523809523809523,0.16216216216216217,0.3817080536126242
0.1111111111111111,0.16216216216216217,0.3816804467869149
0.1111111111111111,0.2702702702702703,0.3815908965010998
0.1746031746031746,0.2702702702702703,0.3815731407408221
0.1746031746031746,0.32432432432432434,0.3815589053164864
0.2222222222222222,0.32432432432432434,0.3815360144505906
0.2222222222222222,0.35135135135135137,0.38153055781079886
0.23809523809523808,0.35135135135135137,0.38150820059102586
0.23809523809523808,0.40540540540540543,0.3815004333485993
0.25396825396825395,0.40540540540540543,0.3814742101313651
0.25396825396825395,0.4594594594594595,0.3814526241642496
0.3333333333333333,0.4594594594594595,0.3813950358954635
0.3333333333333333,0.5405405405405406,0.3813556672904402
0.38095238095238093,0.5405405405405406,0.3813203064800002
0.38095238095238093,0.5675675675675675,0.38130797481666245
0.47619047619047616,0.5675675675675675,0.38125838269715606
0.47619047619047616,0.6216216216216216,0.38122102601278246
0.6507936507936508,0.6216216216216216,0.3810079950503587
0.6507936507936508,0.6756756756756757,0.3810037808189985
0.6666666666666666,0.6756756756756757,0.38095111867708936
0.6666666666666666,0.7027027027027027,0.3809403780473196
0.6825396825396826,0.7027027027027027,0.38092646082677273
0.6825396825396826,0.8108108108108109,0.3808075575233968
0.7142857142857143,0.8108108108108109,0.38076496690224365
0.7142857142857143,0.8378378378378378,0.3807638698824946
0.8253968253968254,0.8378378378378378,0.3806323822404286
0.8253968253968254,0.8648648648648649,0.38059560178029034
0.9365079365079365,0.8648648648648649,0.3805164869520512
0.9365079365079365,0.9459459459459459,0.3804706152188695
0.9523809523809523,0.9459459459459459,0.38046830107412416
0.9523809523809523,0.972972972972973,0.38046806169243785
0.9841269841269841,0.972972972972973,0.3804151782753137
0.9841269841269841,1.0,0.38040924789642316
1.0,1.0,0.38038045023541806
