model,fpr,tpr,threshold
rule,0.0,0.0,inf
rule,0.018518518518518517,0.0,0.9999931301206921
rule,0.05555555555555555,0.0,0.9999597326156038
rule,0.05555555555555555,0.043478260869565216,0.9992416747989282
rule,0.14814814814814814,0.043478260869565216,0.9812992693158741
rule,0.14814814814814814,0.13043478260869565,0.8869868340561413
rule,0.18518518518518517,0.13043478260869565,0.7335053323228516
rule,0.18518518518518517,0.17391304347826086,0.6565458619976264
rule,0.24074074074074073,0.17391304347826086,0.573432579212326
rule,0.24074074074074073,0.1956521739130435,0.4191406516012171
rule,0.2962962962962963,0.1956521739130435,0.22225943277498636
rule,0.2962962962962963,0.21739130434782608,0.18148857349204275
rule,0.3333333333333333,0.21739130434782608,0.1597099227500282
rule,0.3333333333333333,0.2608695652173913,0.1247186930273368
rule,0.35185185185185186,0.2608695652173913,0.10399713872081597
rule,0.35185185185185186,0.32608695652173914,0.07398099958612475
rule,0.46296296296296297,0.32608695652173914,0.021725513840002337
rule,0.46296296296296297,0.3695652173913043,0.011482358170757616
rule,0.5185185185185185,0.3695652173913043,0.004552487309484393
rule,0.5185185185185185,0.41304347826086957,0.0026216489098840074
rule,0.5370370370370371,0.41304347826086957,0.002541535563482721
rule,0.5370370370370371,0.45652173913043476,0.0018758030402802124
rule,0.5740740740740741,0.45652173913043476,0.001341871704949961
rule,0.5740740740740741,0.5,0.0009650080795597343
rule,0.6296296296296297,0.5,0.0007421184480458093
rule,0.6296296296296297,0.5869565217391305,0.0004917340925379009
rule,0.7037037037037037,0.5869565217391305,0.0004002841766053945
rule,0.7037037037037037,0.6739130434782609,0.00032601993735261413
rule,0.7592592592592593,0.6739130434782609,0.0001417471691507809
rule,0.7592592592592593,0.7391304347826086,0.00011396593936492909
rule,0.7777777777777778,0.7391304347826086,0.0001019466590779104
rule,0.7777777777777778,0.8043478260869565,6.265900541884668e-05
rule,0.8518518518518519,0.8043478260869565,2.1250703803855983e-05
rule,0.8518518518518519,0.8260869565217391,1.8640892948072348e-05
rule,0.8703703703703703,0.8260869565217391,1.0961456737872607e-05
rule,0.8703703703703703,0.8695652173913043,5.339021975501867e-06
rule,0.9259259259259259,0.8695652173913043,1.2223024994620753e-06
rule,0.9259259259259259,0.8913043478260869,4.6978580793625554e-07
rule,0.9629629629629629,0.8913043478260869,1.2607786143868956e-07
rule,0.9629629629629629,0.9782608695652174,3.0066323216719036e-09
rule,1.0,0.9782608695652174,9.197461169248014e-11
rule,1.0,1.0,1.97128690575595e-11
rectified_l1,0.0,0.0,inf
rectified_l1,0.018518518518518517,0.0,0.9999931301206921
rectified_l1,0.05555555555555555,0.0,0.9999597326156038
rectified_l1,0.05555555555555555,0.043478260869565216,0.9992416747989282
rectified_l1,0.14814814814814814,0.043478260869565216,0.9812992693158741
rectified_l1,0.14814814814814814,0.13043478260869565,0.8869868340561413
rectified_l1,0.18518518518518517,0.13043478260869565,0.7335053323228516
rectified_l1,0.18518518518518517,0.17391304347826086,0.6565458619976264
rectified_l1,0.24074074074074073,0.17391304347826086,0.573432579212326
rectified_l1,0.24074074074074073,0.1956521739130435,0.4191406516012171
rectified_l1,0.2962962962962963,0.1956521739130435,0.22225943277498636
rectified_l1,0.2962962962962963,0.21739130434782608,0.18148857349204275
rectified_l1,0.3333333333333333,0.21739130434782608,0.1597099227500282
rectified_l1,0.3333333333333333,0.2608695652173913,0.1247186930273368
rectified_l1,0.35185185185185186,0.2608695652173913,0.10399713872081597
rectified_l1,0.35185185185185186,0.32608695652173914,0.07398099958612475
rectified_l1,0.46296296296296297,0.32608695652173914,0.021725513840002337
rectified_l1,0.46296296296296297,0.3695652173913043,0.011482358170757616
rectified_l1,0.5185185185185185,0.3695652173913043,0.004552487309484393
rectified_l1,0.5185185185185185,0.41304347826086957,0.0026216489098840074
rectified_l1,0.5370370370370371,0.41304347826086957,0.002541535563482721
rectified_l1,0.5370370370370371,0.45652173913043476,0.0018758030402802124
rectified_l1,0.5740740740740741,0.45652173913043476,0.001341871704949961
rectified_l1,0.5740740740740741,0.5,0.0009650080795597343
rectified_l1,0.6296296296296297,0.5,0.0007421184480458093
rectified_l1,0.6296296296296297,0.5869565217391305,0.0004917340925379009
rectified_l1,0.7037037037037037,0.5869565217391305,0.0004002841766053945
rectified_l1,0.7037037037037037,0.6739130434782609,0.00032601993735261413
rectified_l1,0.7592592592592593,0.6739130434782609,0.0001417471691507809
rectified_l1,0.7592592592592593,0.7391304347826086,0.00011396593936492909
rectified_l1,0.7777777777777778,0.7391304347826086,0.0001019466590779104
rectified_l1,0.7777777777777778,0.8043478260869565,6.265900541884668e-05
rectified_l1,0.8518518518518519,0.8043478260869565,2.1250703803855983e-05
rectified_l1,0.8518518518518519,0.8260869565217391,1.8640892948072348e-05
rectified_l1,0.8703703703703703,0.8260869565217391,1.0961456737872607e-05
rectified_l1,0.8703703703703703,0.8695652173913043,5.339021975501867e-06
rectified_l1,0.9259259259259259,0.8695652173913043,1.2223024994620753e-06
rectified_l1,0.9259259259259259,0.8913043478260869,4.6978580793625554e-07
rectified_l1,0.9629629629629629,0.8913043478260869,1.2607786143868956e-07
rectified_l1,0.9629629629629629,0.9782608695652174,3.0066323216719036e-09
rectified_l1,1.0,0.9782608695652174,9.197461169248014e-11
rectified_l1,1.0,1.0,1.97128690575595e-11
raw_l1,0.0,0.0,inf
raw_l1,1.0,1.0,0.37111111111111117
sklearn_rectified,0.0,0.0,inf
sklearn_rectified,0.0,0.021739130434782608,0.8971541821096995
sklearn_rectified,0.037037037037037035,0.021739130434782608,0.8508408645359504
sklearn_rectified,0.037037037037037035,0.10869565217391304,0.6576153122850956
sklearn_rectified,0.07407407407407407,0.10869565217391304,0.6185105649112558
sklearn_rectified,0.07407407407407407,0.13043478260869565,0.5817601835582249
sklearn_rectified,0.1111111111111111,0.13043478260869565,0.5734705322595026
sklearn_rectified,0.1111111111111111,0.15217391304347827,0.5451264775030517
sklearn_rectified,0.16666666666666666,0.15217391304347827,0.512430548676494
sklearn_rectified,0.16666666666666666,0.17391304347826086,0.49971652998672145
sklearn_rectified,0.18518518518518517,0.17391304347826086,0.4972337120175314
sklearn_rectified,0.18518518518518517,0.1956521739130435,0.47887619387376884
sklearn_rectified,0.2037037037037037,0.1956521739130435,0.42838591545030286
sklearn_rectified,0.2037037037037037,0.21739130434782608,0.4202337644345851
sklearn_rectified,0.2777777777777778,0.21739130434782608,0.35613077771656493
sklearn_rectified,0.2777777777777778,0.2608695652173913,0.3125595453327938
sklearn_rectified,0.4444444444444444,0.2608695652173913,0.1787545289666684
sklearn_rectified,0.4444444444444444,0.30434782608695654,0.16310121599059613
sklearn_rectified,0.5185185185185185,0.30434782608695654,0.12804359842989968
sklearn_rectified,0.5185185185185185,0.32608695652173914,0.12768509736813918
sklearn_rectified,0.5370370370370371,0.32608695652173914,0.1264036668878643
sklearn_rectified,0.5370370370370371,0.34782608695652173,0.12538035248072785
sklearn_rectified,0.5555555555555556,0.34782608695652173,0.11962009493469068
sklearn_rectified,0.5555555555555556,0.391304347826087,0.11452782007548587
sklearn_rectified,0.5740740740740741,0.391304347826087,0.11089363786831283
sklearn_rectified,0.5740740740740741,0.5,0.08927204051940045
sklearn_rectified,0.6296296296296297,0.5,0.07425607629110931
sklearn_rectified,0.6296296296296297,0.5217391304347826,0.07248872635591101
sklearn_rectified,0.6666666666666666,0.5217391304347826,0.06410380421490303
sklearn_rectified,0.6666666666666666,0.5652173913043478,0.05771643807552925
sklearn_rectified,0.7037037037037037,0.5652173913043478,0.05540531741064489
sklearn_rectified,0.7037037037037037,0.6956521739130435,0.04376712378805167
sklearn_rectified,0.7222222222222222,0.6956521739130435,0.04096173682472209
sklearn_rectified,0.7222222222222222,0.717391304347826,0.038448121969533455
sklearn_rectified,0.7407407407407407,0.717391304347826,0.03841987865828681
sklearn_rectified,0.7407407407407407,0.7391304347826086,0.03839791369108529
sklearn_rectified,0.7777777777777778,0.7391304347826086,0.03717369023014753
sklearn_rectified,0.7777777777777778,0.7608695652173914,0.032724602415092126
sklearn_rectified,0.7962962962962963,0.7608695652173914,0.027348239796442044
sklearn_rectified,0.7962962962962963,0.8043478260869565,0.025224128448501682
sklearn_rectified,0.8888888888888888,0.8043478260869565,0.017174274837981184
sklearn_rectified,0.8888888888888888,0.8260869565217391,0.015869188231768708
sklearn_rectified,0.9074074074074074,0.8260869565217391,0.012959251859430702
sklearn_rectified,0.9074074074074074,0.8695652173913043,0.012580740485207546
sklearn_rectified,0.9259259259259259,0.8695652173913043,0.008133720371566944
sklearn_rectified,0.9259259259259259,0.8913043478260869,0.007840841503922901
sklearn_rectified,0.9629629629629629,0.8913043478260869,0.0035996756539327856
