model,fpr,tpr,threshold
rule,0.0,0.0,inf
rule,0.010752688172043012,0.0,0.9999999895283315
rule,0.010752688172043012,0.017543859649122806,0.9999999400569879
rule,0.053763440860215055,0.017543859649122806,0.9999873221243727
rule,0.053763440860215055,0.03508771929824561,0.999976371061054
rule,0.06451612903225806,0.03508771929824561,0.9999730552682826
rule,0.06451612903225806,0.05263157894736842,0.9999291445580282
rule,0.07526881720430108,0.05263157894736842,0.9998786836755622
rule,0.07526881720430108,0.07017543859649122,0.999781157724217
rule,0.10752688172043011,0.07017543859649122,0.9995384706468824
rule,0.10752688172043011,0.08771929824561403,0.9994108981135732
rule,0.11827956989247312,0.08771929824561403,0.9991902366243816
rule,0.11827956989247312,0.14035087719298245,0.9987640708313836
rule,0.22580645161290322,0.14035087719298245,0.9857149433154743
rule,0.22580645161290322,0.17543859649122806,0.9697330998657282
rule,0.26881720430107525,0.17543859649122806,0.9240558092633212
rule,0.26881720430107525,0.2807017543859649,0.8502195462402187
rule,0.3010752688172043,0.2807017543859649,0.7733203710689895
rule,0.3010752688172043,0.3157894736842105,0.7686323468227524
rule,0.3333333333333333,0.3157894736842105,0.6985754908467332
rule,0.3333333333333333,0.3684210526315789,0.6385534579514867
rule,0.3978494623655914,0.3684210526315789,0.3372226442909511
rule,0.3978494623655914,0.38596491228070173,0.3355707573304173
rule,0.40860215053763443,0.38596491228070173,0.32293831703662657
rule,0.40860215053763443,0.43859649122807015,0.30634162859725467
rule,0.43010752688172044,0.43859649122807015,0.2994231356708029
rule,0.43010752688172044,0.45614035087719296,0.28716464664968966
rule,0.46236559139784944,0.45614035087719296,0.25364334553242845
rule,0.46236559139784944,0.47368421052631576,0.25028884872681406
rule,0.4838709677419355,0.47368421052631576,0.21613738246312086
rule,0.4838709677419355,0.49122807017543857,0.21562602072066192
rule,0.5161290322580645,0.49122807017543857,0.17257517496723043
rule,0.5161290322580645,0.5263157894736842,0.09880439116390904
rule,0.5268817204301075,0.5263157894736842,0.09315008143505792
rule,0.5268817204301075,0.5614035087719298,0.0767196477461411
rule,0.5376344086021505,0.5614035087719298,0.07597386963290632
rule,0.5376344086021505,0.5964912280701754,0.065824377133874
rule,0.5698924731182796,0.5964912280701754,0.05016459241217949
rule,0.5698924731182796,0.6140350877192983,0.04679359829188537
rule,0.6021505376344086,0.6140350877192983,0.027845066396493288
rule,0.6021505376344086,0.631578947368421,0.027450554871411327
rule,0.6236559139784946,0.631578947368421,0.020070523370131016
rule,0.6236559139784946,0.6491228070175439,0.01957186952247521
rule,0.6344086021505376,0.6491228070175439,0.018170586385168882
rule,0.6344086021505376,0.6666666666666666,0.013692833025782844
rule,0.6989247311827957,0.6666666666666666,0.00894577830409646
rule,0.6989247311827957,0.7543859649122807,0.0014298127259696884
rule,0.7096774193548387,0.7543859649122807,0.001423348227265733
rule,0.7096774193548387,0.7894736842105263,0.0013108971995897751
rule,0.7311827956989247,0.7894736842105263,0.0010353261826562296
rule,0.7311827956989247,0.8070175438596491,0.0008764601860643484
rule,0.7419354838709677,0.8070175438596491,0.0004410442603802031
rule,0.7419354838709677,0.8421052631578947,0.00024143430359630278
rule,0.7526881720430108,0.8421052631578947,0.00021318629953861204
rule,0.7526881720430108,0.8947368421052632,8.453626351371796e-05
rule,0.8064516129032258,0.8947368421052632,2.578978659474451e-05
rule,0.8064516129032258,0.9298245614035088,2.1969942438225397e-05
rule,0.8602150537634409,0.9298245614035088,9.326868253912122e-06
rule,0.8602150537634409,0.9649122807017544,3.706138188911344e-06
rule,0.9139784946236559,0.9649122807017544,5.000790226994503e-07
rule,0.9139784946236559,0.9824561403508771,1.8684013831495594e-07
rule,0.967741935483871,0.9824561403508771,3.008143391301914e-08
rule,0.967741935483871,1.0,1.9862566700498452e-08
rule,1.0,1.0,2.526689768007113e-13
rectified_l1,0.0,0.0,inf
rectified_l1,0.010752688172043012,0.0,0.9999999895283315
rectified_l1,0.010752688172043012,0.017543859649122806,0.9999999400569879
rectified_l1,0.053763440860215055,0.017543859649122806,0.9999873221243727
rectified_l1,0.053763440860215055,0.03508771929824561,0.999976371061054
rectified_l1,0.06451612903225806,0.03508771929824561,0.9999730552682826
rectified_l1,0.06451612903225806,0.05263157894736842,0.9999291445580282
rectified_l1,0.07526881720430108,0.05263157894736842,0.9998786836755622
rectified_l1,0.07526881720430108,0.07017543859649122,0.999781157724217
rectified_l1,0.10752688172043011,0.07017543859649122,0.9995384706468824
rectified_l1,0.10752688172043011,0.08771929824561403,0.9994108981135732
rectified_l1,0.11827956989247312,0.08771929824561403,0.9991902366243816
rectified_l1,0.11827956989247312,0.14035087719298245,0.9987640708313836
rectified_l1,0.22580645161290322,0.14035087719298245,0.9857149433154743
rectified_l1,0.22580645161290322,0.17543859649122806,0.9697330998657282
rectified_l1,0.26881720430107525,0.17543859649122806,0.9240558092633212
rectified_l1,0.26881720430107525,0.2807017543859649,0.8502195462402187
rectified_l1,0.3010752688172043,0.2807017543859649,0.7733203710689895
rectified_l1,0.3010752688172043,0.3157894736842105,0.7686323468227524
rectified_l1,0.3333333333333333,0.3157894736842105,0.6985754908467332
rectified_l1,0.3333333333333333,0.3684210526315789,0.6385534579514867
rectified_l1,0.3978494623655914,0.3684210526315789,0.3372226442909511
rectified_l1,0.3978494623655914,0.38596491228070173,0.3355707573304173
rectified_l1,0.40860215053763443,0.38596491228070173,0.32293831703662657
rectified_l1,0.40860215053763443,0.43859649122807015,0.30634162859725467
rectified_l1,0.43010752688172044,0.43859649122807015,0.2994231356708029
rectified_l1,0.43010752688172044,0.45614035087719296,0.28716464664968966
rectified_l1,0.46236559139784944,0.45614035087719296,0.25364334553242845
rectified_l1,0.46236559139784944,0.47368421052631576,0.25028884872681406
rectified_l1,0.4838709677419355,0.47368421052631576,0.21613738246312086
rectified_l1,0.4838709677419355,0.49122807017543857,0.21562602072066192
rectified_l1,0.5161290322580645,0.49122807017543857,0.17257517496723043
rectified_l1,0.5161290322580645,0.5263157894736842,0.09880439116390904
rectified_l1,0.5268817204301075,0.5263157894736842,0.09315008143505792
rectified_l1,0.5268817204301075,0.5614035087719298,0.0767196477461411
rectified_l1,0.5376344086021505,0.5614035087719298,0.07597386963290632
rectified_l1,0.5376344086021505,0.5964912280701754,0.065824377133874
rectified_l1,0.5698924731182796,0.5964912280701754,0.05016459241217949
rectified_l1,0.5698924731182796,0.6140350877192983,0.04679359829188537
rectified_l1,0.6021505376344086,0.6140350877192983,0.027845066396493288
rectified_l1,0.6021505376344086,0.631578947368421,0.027450554871411327
rectified_l1,0.6236559139784946,0.631578947368421,0.020070523370131016
rectified_l1,0.6236559139784946,0.6491228070175439,0.01957186952247521
rectified_l1,0.6344086021505376,0.6491228070175439,0.018170586385168882
rectified_l1,0.6344086021505376,0.6666666666666666,0.013692833025782844
rectified_l1,0.6989247311827957,0.6666666666666666,0.00894577830409646
rectified_l1,0.6989247311827957,0.7543859649122807,0.0014298127259696884
rectified_l1,0.7096774193548387,0.7543859649122807,0.001423348227265733
rectified_l1,0.7096774193548387,0.7894736842105263,0.0013108971995897751
rectified_l1,0.7311827956989247,0.7894736842105263,0.0010353261826562296
rectified_l1,0.7311827956989247,0.8070175438596491,0.0008764601860643484
rectified_l1,0.7419354838709677,0.8070175438596491,0.0004410442603802031
rectified_l1,0.7419354838709677,0.8421052631578947,0.00024143430359630278
rectified_l1,0.7526881720430108,0.8421052631578947,0.00021318629953861204
rectified_l1,0.7526881720430108,0.8947368421052632,8.453626351371796e-05
rectified_l1,0.8064516129032258,0.8947368421052632,2.578978659474451e-05
rectified_l1,0.8064516129032258,0.9298245614035088,2.1969942438225397e-05
rectified_l1,0.8602150537634409,0.9298245614035088,9.326868253912122e-06
rectified_l1,0.8602150537634409,0.9649122807017544,3.706138188911344e-06
rectified_l1,0.9139784946236559,0.9649122807017544,5.000790226994503e-07
rectified_l1,0.9139784946236559,0.9824561403508771,1.8684013831495594e-07
rectified_l1,0.967741935483871,0.9824561403508771,3.008143391301914e-08
rectified_l1,0.967741935483871,1.0,1.9862566700498452e-08
rectified_l1,1.0,1.0,2.526689768007113e-13
raw_l1,0.0,0.0,inf
raw_l1,1.0,1.0,0.38000000000000006
sklearn_rectified,0.0,0.0,inf
sklearn_rectified,0.010752688172043012,0.0,0.7925563324305788
sklearn_rectified,0.03225806451612903,0.0,0.7415745214287357
sklearn_rectified,0.03225806451612903,0.03508771929824561,0.7254910562736779
sklearn_rectified,0.0967741935483871,0.03508771929824561,0.6664732637497071
sklearn_rectified,0.0967741935483871,0.05263157894736842,0.6631411425021068
sklearn_rectified,0.11827956989247312,0.05263157894736842,0.6615508943509704
sklearn_rectified,0.15053763440860216,0.07017543859649122,0.659209919692223
sklearn_rectified,0.20430107526881722,0.07017543859649122,0.6406311568343624
sklearn_rectified,0.20430107526881722,0.14035087719298245,0.6195624006308226
sklearn_rectified,0.21505376344086022,0.14035087719298245,0.598914503229455
sklearn_rectified,0.21505376344086022,0.17543859649122806,0.577275295998208
sklearn_rectified,0.22580645161290322,0.17543859649122806,0.57726230874961
sklearn_rectified,0.22580645161290322,0.21052631578947367,0.5688398985964938
sklearn_rectified,0.23655913978494625,0.21052631578947367,0.5598203130313404
sklearn_rectified,0.23655913978494625,0.24561403508771928,0.5484737718646766
sklearn_rectified,0.24731182795698925,0.24561403508771928,0.5484204182523387
sklearn_rectified,0.24731182795698925,0.2631578947368421,0.542972568445258
sklearn_rectified,0.25806451612903225,0.2807017543859649,0.5395656916309849
sklearn_rectified,0.27956989247311825,0.2807017543859649,0.5237450446162879
