fpr,tpr,threshold
0.0,0.0,inf
0.010752688172043012,0.0,0.936566341064719
0.021505376344086023,0.0,0.9161569448916496
0.021505376344086023,0.017543859649122806,0.8999627907832124
0.043010752688172046,0.017543859649122806,0.8673166737318591
0.043010752688172046,0.03508771929824561,0.8666482725515775
0.10752688172043011,0.03508771929824561,0.8258047382757898
0.10752688172043011,0.07017543859649122,0.7986658691211022
0.12903225806451613,0.07017543859649122,0.7699252997169499
0.15053763440860216,0.07017543859649122,0.7699252415207789
0.15053763440860216,0.08771929824561403,0.7498181892798311
0.17204301075268819,0.08771929824561403,0.7072188211848087
0.17204301075268819,0.10526315789473684,0.6982283399095056
0.1827956989247312,0.10526315789473684,0.6963518621051975
0.1827956989247312,0.12280701754385964,0.6848972668398241
0.21505376344086022,0.12280701754385964,0.668014533093744
0.21505376344086022,0.19298245614035087,0.600273614549497
0.25806451612903225,0.19298245614035087,0.5831248076627702
0.25806451612903225,0.22807017543859648,0.5668669188658546
0.26881720430107525,0.22807017543859648,0.5655054183057059
0.26881720430107525,0.24561403508771928,0.5611480248034344
0.27956989247311825,0.24561403508771928,0.5573247343614111
0.27956989247311825,0.2631578947368421,0.5284071857401271
0.3010752688172043,0.2631578947368421,0.5156821578530568
0.3010752688172043,0.2807017543859649,0.5156816990963521
0.3118279569892473,0.2807017543859649,0.514602033652043
0.3118279569892473,0.2982456140350877,0.5099631551808695
0.3225806451612903,0.2982456140350877,0.5065008083871356
0.3225806451612903,0.3157894736842105,0.49439745846553285
0.3548387096774194,0.3157894736842105,0.4860641961933725
0.3548387096774194,0.3684210526315789,0.4356217921438853
0.3655913978494624,0.3684210526315789,0.42990325237824856
0.3655913978494624,0.38596491228070173,0.4147763582767115
0.3978494623655914,0.38596491228070173,0.3910111597499288
0.3978494623655914,0.40350877192982454,0.37539816784924707
0.40860215053763443,0.40350877192982454,0.3744451697089054
0.40860215053763443,0.42105263157894735,0.372453778088194
0.41935483870967744,0.42105263157894735,0.36763232844967947
0.41935483870967744,0.47368421052631576,0.3551230378229298
0.43010752688172044,0.47368421052631576,0.34714192070542155
0.43010752688172044,0.5263157894736842,0.3141481898032052
0.44086021505376344,0.5263157894736842,0.2934756105431036
0.44086021505376344,0.543859649122807,0.2919677045319646
0.45161290322580644,0.543859649122807,0.2724970301501859
0.45161290322580644,0.5614035087719298,0.2677282350682194
0.4838709677419355,0.5614035087719298,0.24438406831526233
0.4838709677419355,0.5789473684210527,0.22492847198369825
0.5483870967741935,0.5789473684210527,0.20115210628411573
0.5483870967741935,0.5964912280701754,0.1929182726755207
0.5698924731182796,0.5964912280701754,0.17855290013567693
0.5698924731182796,0.6666666666666666,0.15360205346547456
0.6021505376344086,0.6666666666666666,0.14000586416614505
0.6021505376344086,0.7192982456140351,0.13550842406723584
0.6451612903225806,0.7192982456140351,0.12105264705891146
0.6451612903225806,0.7368421052631579,0.11663638208449033
0.6559139784946236,0.7368421052631579,0.1040295809102955
0.6559139784946236,0.8245614035087719,0.08176901185928553
0.7096774193548387,0.8245614035087719,0.055411772120937654
0.7096774193548387,0.8596491228070176,0.05091049454346765
0.7204301075268817,0.8596491228070176,0.046030712549840105
0.7204301075268817,0.8947368421052632,0.040579691895455614
0.7526881720430108,0.8947368421052632,0.03849417555429589
0.7526881720430108,0.9122807017543859,0.03719072258819126
0.7741935483870968,0.9122807017543859,0.033892833063063635
0.7741935483870968,0.9649122807017544,0.03149660867139765
0.8064516129032258,0.9649122807017544,0.026896225290969775
0.8064516129032258,0.9824561403508771,0.02614931275397873
0.9354838709677419,0.9824561403508771,0.005426817485249213
0.9354838709677419,1.0,0.00513982512418311
1.0,1.0,0.00019584507072462005
