fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.6815420072817717
0.016666666666666666,0.025,0.6562993212207063
0.05,0.05,0.6388663905794189
0.06666666666666667,0.05,0.6388663861933933
0.06666666666666667,0.125,0.6278219480806719
0.1,0.125,0.5997903494662102
0.1,0.15,0.5949803854545158
0.13333333333333333,0.15,0.5699302954434661
0.13333333333333333,0.175,0.5489346068570182
0.15,0.175,0.5444250590702215
0.15,0.2,0.54040871925843
0.21666666666666667,0.2,0.5022136650324358
0.21666666666666667,0.225,0.4953140497739677
0.26666666666666666,0.225,0.4782899793055005
0.26666666666666666,0.25,0.46467130474394763
0.2833333333333333,0.25,0.4533604423989565
0.2833333333333333,0.275,0.4437519882614998
0.31666666666666665,0.275,0.4423081458390147
0.31666666666666665,0.3,0.44203937544511374
0.35,0.3,0.4364992624899
0.35,0.325,0.42897073619183745
0.36666666666666664,0.325,0.4159269533720907
0.36666666666666664,0.35,0.40576919586107874
0.4,0.35,0.3888113985958186
0.4,0.45,0.3408595206011559
0.4166666666666667,0.45,0.3311205683291913
0.4166666666666667,0.525,0.3112587164913608
0.45,0.525,0.2945120174231297
0.45,0.55,0.2792752989004702
0.48333333333333334,0.575,0.27010396357934535
0.55,0.575,0.24471373442273917
0.55,0.6,0.24375028263385107
0.6,0.6,0.2216068573014857
0.6,0.625,0.218597255026654
0.6166666666666667,0.625,0.21585602897244305
0.6166666666666667,0.675,0.20512279357510033
0.6833333333333333,0.675,0.15700440382148342
0.6833333333333333,0.725,0.13536412324306665
0.7,0.725,0.1352699534928299
0.7,0.825,0.12025254503968301
0.7166666666666667,0.825,0.11924418830827113
0.7166666666666667,0.85,0.10552646708128388
0.75,0.85,0.09594154723752948
0.75,0.875,0.08072597728704003
0.7833333333333333,0.875,0.07248968836919552
0.7833333333333333,0.9,0.07239996254628835
0.8333333333333334,0.9,0.06736529180650679
0.8333333333333334,0.925,0.0648688938531291
0.8666666666666667,0.925,0.05216786896068277
0.8666666666666667,0.975,0.04779461747565792
0.9666666666666667,0.975,0.026711920804037233
0.9666666666666667,1.0,0.02201728042245749
1.0,1.0,0.008457786334701999
