fpr,tpr,threshold
0.0,0.0,inf
0.011235955056179775,0.0,0.9999999938910744
0.011235955056179775,0.01639344262295082,0.9999997461701295
0.02247191011235955,0.01639344262295082,0.9999995903236352
0.02247191011235955,0.03278688524590164,0.9999977849547396
0.033707865168539325,0.03278688524590164,0.9999966135180932
0.033707865168539325,0.04918032786885246,0.9999911708869568
0.0449438202247191,0.04918032786885246,0.9999880449007754
0.0449438202247191,0.06557377049180328,0.9999170953705344
0.056179775280898875,0.06557377049180328,0.9997596299920842
0.056179775280898875,0.09836065573770492,0.9994416809151364
0.06741573033707865,0.09836065573770492,0.9992911571479596
0.06741573033707865,0.13114754098360656,0.9985576952889502
0.0898876404494382,0.13114754098360656,0.9978938466097387
0.0898876404494382,0.14754098360655737,0.9974692596749035
0.16853932584269662,0.14754098360655737,0.9713837612122741
0.16853932584269662,0.16393442622950818,0.9700141829330677
0.1797752808988764,0.16393442622950818,0.9696588748478792
0.1797752808988764,0.18032786885245902,0.9661265053926947
0.19101123595505617,0.18032786885245902,0.9636394386279896
0.19101123595505617,0.19672131147540983,0.9613275388419948
0.2247191011235955,0.19672131147540983,0.9057297895681682
0.2247191011235955,0.26229508196721313,0.8472304786771225
0.25842696629213485,0.26229508196721313,0.7810197215178831
0.25842696629213485,0.3114754098360656,0.7358706701465995
0.2808988764044944,0.3114754098360656,0.7044546774415016
0.2808988764044944,0.32786885245901637,0.6761828813311741
0.3146067415730337,0.32786885245901637,0.6522102831519186
0.3146067415730337,0.3442622950819672,0.6086618425681664
0.34831460674157305,0.3442622950819672,0.5706801928823853
0.34831460674157305,0.36065573770491804,0.5260252431516136
0.3595505617977528,0.36065573770491804,0.5204551297795345
0.3595505617977528,0.39344262295081966,0.4457005469577686
0.4157303370786517,0.39344262295081966,0.2867676322555181
0.4157303370786517,0.4098360655737705,0.27039036382670806
0.42696629213483145,0.4098360655737705,0.249366740381698
0.42696629213483145,0.45901639344262296,0.12389923171156685
0.449438202247191,0.45901639344262296,0.1237340039702577
0.47191011235955055,0.45901639344262296,0.11540358941660148
0.47191011235955055,0.4918032786885246,0.10010137357976234
0.48314606741573035,0.4918032786885246,0.0995943417584296
0.48314606741573035,0.5081967213114754,0.06937149098961853
0.4943820224719101,0.5081967213114754,0.046252733130114916
0.4943820224719101,0.5573770491803278,0.02984256509312058
0.5280898876404494,0.5573770491803278,0.024177290611532502
0.5280898876404494,0.5737704918032787,0.023332132355556923
0.5393258426966292,0.5737704918032787,0.02112642530725433
0.5393258426966292,0.6065573770491803,0.017612539093748932
0.5842696629213483,0.6065573770491803,0.009744937804896625
0.5842696629213483,0.6229508196721312,0.008589112834660666
0.5955056179775281,0.6229508196721312,0.006876392481339426
0.5955056179775281,0.6557377049180327,0.0029340356233744395
0.6067415730337079,0.6557377049180327,0.002382870126069467
0.6067415730337079,0.7049180327868853,0.002109520377205016
0.6179775280898876,0.7049180327868853,0.0015430388053204814
0.6179775280898876,0.7377049180327869,0.0013495825187078722
0.6292134831460674,0.7377049180327869,0.001253927379947747
0.6292134831460674,0.7540983606557377,0.0011933324635116174
0.6404494382022472,0.7540983606557377,0.0005912696672708797
0.6404494382022472,0.7868852459016393,0.0005261601080598908
0.6853932584269663,0.7868852459016393,0.0002645403035706256
0.6853932584269663,0.8032786885245902,0.00024825971261824785
0.7078651685393258,0.8032786885245902,0.00019477302861631754
0.7078651685393258,0.819672131147541,0.00019069923517297713
0.7191011235955056,0.819672131147541,0.00018880590345565312
0.7191011235955056,0.8360655737704918,0.00018502811465569673
0.7640449438202247,0.8360655737704918,2.5418906393330928e-05
0.7640449438202247,0.8688524590163934,1.9201467766222503e-05
0.7752808988764045,0.8688524590163934,1.63597092263402e-05
0.7752808988764045,0.8852459016393442,1.3981798093100137e-05
0.797752808988764,0.8852459016393442,1.0990760471966703e-05
0.797752808988764,0.9016393442622951,1.0900609698705159e-05
0.8202247191011236,0.9016393442622951,8.702306955042751e-06
0.8202247191011236,0.9180327868852459,7.321721265245224e-06
0.8426966292134831,0.9180327868852459,3.7271262438118322e-06
0.8426966292134831,0.9344262295081968,3.6156757982308453e-06
0.9325842696629213,0.9344262295081968,5.844252995366923e-07
0.9325842696629213,0.9508196721311475,4.865972484598771e-07
0.9887640449438202,0.9508196721311475,9.093266441137346e-09
0.9887640449438202,0.9836065573770492,2.204797947680568e-09
1.0,0.9836065573770492,1.1508441825740493e-09
1.0,1.0,5.3595943915953014e-11
